acanthosoma haemorrhoidale (hawthorn shield bug)
agrothereutes abbreviata
andrena clarkella
andrena denticulata
andrena labilis
barn owl, tyto alba
bibio marci
bibio reticulatus
bittern, botaurus stellaris
black darter, sympetrum danae
black grouse, tetrao tetrix†
black-throated diver, gavia arctica
blackbird, turdus merula
blue tit, parus caeruleus
blue-tailed damselfly, ischnura elegans
bombus agrorum
bombus lucorum
bombus muscorum
bombylius canescens
bombylius minor, heath bee-fly
brent goose, branta bernicla
brown hawker, aeshna grandis
brown long-eared bat, plecotus auritus
brown rat, rattus norvegicus
calliphora vomitoria
canada goose, branta canadensis
capsus meriopterus (a broom myrid)
carrion crow, corvus corax
cheilosia rosarum
chough, phyrocorrax phyrocorrax
chrysops ventralis
chrysops vulgaris
cinnabar moth, tyria jacobaeae
coal tit, parus ater
collared dove, streptopelia decaocto
comma, polygonia c-album[1]
common blue damselfly, enallagma cyathigerum
common blue, polyommatus icarus
common chaffinch, fringilla coelebs
common darter, sympetrum striolatum
common earwig, forficula auricularia
common frog, rana temporaria
common green grasshopper, omocestus viridulus
common hawker, aeshna juncea
common lizard, zootoca vivipara
common pipistrelle, pipistrellus pipistrellus
common scoter, melanitta nigra
common seal, phoca vitulina
common toad, bufo bufo
coot, fulica atra
corixa praeusta (a water boatman)
cormorant, phalacrocorax carbo
corn bunting, miliaria calandra
corncrake, crex crex
crabo cribarius
curlew, numenius arguata
dark bush-cricket, pholidoptera griseoaptera
dark green fritillary, argynnis aglaja
daubenton's bat, myotis daubentonii
death's head hawkmoth, acherontia atropos
dolerus cothurnatus
dolerus liogaster
domestic goat, capra hircus
downy emerald, cordulia aenea
dunnock, prunella modularis
eider, somateria mollissima
elephant hawkmoth, deilephila elpenor
emerald damselfly, lestes sponsa
emperor dragonfly, anax imperator
european hare, lepus europaeus
european hedgehog, erinaceus europaeus
european rabbit, oryctolagus cuniculus
ferret, mustela furo
four-spotted chaser, libellula quadrimaculata
fulmar, fulmarus glacialis
gadwall, anas strepera
gannet, morus bassanus
garden carpet, xanthorhoe fluctuata
goldcrest, regulus regulus
golden-ringed dragonfly, cordulegaster boltonii
goldeneye, bucephala clangula
goldfinch, carduelis chloris
goosander, mergus merganser
grayling, hipparchia semele
great black-backed gull, larsus marinus
great crested newt, triturus cristatus
great northern diver, gavia immer
great tit, parus major
green-veined white, pieris napi
greenfinch, carduelis chloris
grey heron, ardea cinerea
grey partridge, perdix perdix
grey seal, halichoerus grypus
grey wagtail, motacilla cinerea
greylag goose, anser anser
halictus calceatus
hemerobius lutescens
hen harrier, circus cyaneus
herring gull, larsus argentatus
herris lacustris (common pondskater)
holly blue, celastrina argiolus
hooded crow, corvus cornix
house mouse, mus domesticus
house sparrow, passer domesticus
human, homo sapiens
hydrometra stagnorum (water-measurer)
ingrailed clay, diarsia mendica mendica
irish elk, megaloceros giganteus
jackdaw, corvus monedula
keeled skimmer, orthetrum coerulescens
kestrel, falco tinnunculus
large red damselfly, pyrrhosoma nymphula
large white, pieris brassicae
leisler's bat, nyctalus leisleri
lesser mottled grasshopper, stenobothrus stigmaticus
limnophilus auricula
limnophilus elegans
limnophilus flavicornis
lissonata bellator
little grebe, tachybaptus ruficollis
long-tailed duck, clangula hyemalis
long-tailed tit, aegithalos caudatus
machimus cowini, manx robber fly
magpie, pica pica
mallard, anus platyrhynchos
manx shearwater, puffinus puffinus
meadow brown, maniola jurtina
merlin, falco columbarius
micromus veriegatus
